Atom: 39
Frequency   X       Y       Z       IR      Raman
370.4086  -0.13  -0.01  -0.21  61.5361  2.0804
386.2393  0.03  0.07  0.03  54.9413  4.1362
387.7181  -0.02  -0.03  -0.00  99.3099  2.2158
410.0357  0.00  -0.02  0.01  39.0221  1.0253
411.6582  0.00  -0.04  0.04  43.4947  2.9683
413.2711  0.01  -0.03  0.05  39.7155  6.8537
426.5268  -0.01  -0.02  -0.00  39.0339  4.4075
438.3855  0.00  -0.14  0.02  46.7188  13.3222
469.6334  -0.01  -0.07  0.06  80.9109  9.78
483.6002  0.00  0.01  -0.00  59.0739  0.5937
493.8025  -0.01  -0.02  0.02  48.9302  1.396
495.7498  0.02  0.05  -0.03  27.0633  5.8231
503.8581  -0.01  0.00  -0.01  9.8215  5.9157
510.8011  -0.00  -0.02  0.01  10.8884  8.9454
519.3739  0.05  0.10  -0.00  54.0423  25.0754
525.4132  0.01  -0.04  -0.00  102.6612  3.5387
533.0769  -0.03  -0.05  0.01  7.3302  1.1431
537.2446  -0.00  0.01  0.00  31.8205  17.8355
538.5564  -0.00  -0.01  -0.01  27.5745  1.9953
545.8946  0.03  0.03  0.01  113.4644  18.7149
561.7693  0.03  0.05  0.01  98.4147  19.6539
562.8517  -0.03  -0.10  0.03  147.0827  10.9055
566.6883  0.01  0.01  0.01  30.4764  0.8802
569.4081  0.04  0.09  -0.00  148.6591  6.4201
573.6784  -0.03  -0.05  -0.02  76.8514  16.6877
583.1128  0.01  0.02  0.02  210.9524  2.6542
585.8526  -0.01  -0.02  -0.00  12.695  2.0659
594.8459  0.01  0.01  0.00  13.2342  1.7613
596.5926  -0.01  -0.02  0.01  46.8986  1.4084
597.6731  -0.01  -0.01  -0.00  6.3672  1.5318
600.3821  0.02  0.04  0.00  18.5036  2.0797
606.7735  -0.01  -0.02  0.01  4.9913  4.3613
607.9293  0.05  0.13  -0.03  162.1689  8.2157
625.7653  0.01  0.02  -0.00  17.78  1.1343
628.8164  0.15  0.33  0.01  111.5049  15.5283
629.5259  -0.09  -0.18  -0.01  111.0132  9.7796
638.6000  -0.00  0.05  -0.00  64.1565  9.0496
646.2814  -0.01  -0.01  0.01  6.8372  8.954
648.0201  0.02  0.03  0.00  39.7696  20.2797
649.6329  0.01  0.02  -0.01  27.234  12.904
650.0405  -0.00  -0.01  0.00  2.9487  14.856
651.1026  -0.01  -0.01  0.01  23.1154  17.46
653.4535  0.05  0.10  -0.00  92.6404  22.2474
663.5839  0.01  0.01  0.00  40.1896  3.2971
665.4321  -0.02  0.00  -0.02  84.2629  6.5905
666.7787  -0.00  -0.01  -0.00  5.4683  0.3444
668.7916  0.01  0.01  0.00  13.5164  3.4033
669.0299  -0.02  0.00  -0.02  44.1459  6.8514
676.6130  0.01  0.03  -0.00  139.5272  32.7697
699.0195  0.01  -0.01  0.00  19.5423  2.0891
702.3344  -0.02  0.00  -0.02  0.7821  1.5424
739.0523  -0.01  0.00  -0.00  5.1652  1.2239

